name,website,email,source,country,description,scraped_at
"Platforms","#platforms","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Programming Languages","#programming-languages","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Front-End Development","#front-end-development","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Back-End Development","#back-end-development","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Computer Science","#computer-science","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Big Data","#big-data","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Theory","#theory","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Books","#books","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Editors","#editors","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Gaming","#gaming","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Development Environment","#development-environment","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Entertainment","#entertainment","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Databases","#databases","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Media","#media","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Learn","#learn","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Security","#security","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Content Management Systems","#content-management-systems","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Hardware","#hardware","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Business","#business","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Work","#work","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Networking","#networking","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Decentralized Systems","#decentralized-systems","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Health and Social Science","#health-and-social-science","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Events","#events","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Testing","#testing","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Miscellaneous","#miscellaneous","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Related","#related","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Node.js","https://github.com/sindresorhus/awesome-nodejs#readme","","GitHub/sindresorhus/awesome","","Async non-blocking event-driven JavaScript runtime built on Chrome's V8 JavaScript engine.","2025-05-27 19:45:47"
"Cross-Platform","https://github.com/bcoe/awesome-cross-platform-nodejs#readme","","GitHub/sindresorhus/awesome","","Writing cross-platform code on Node.js.","2025-05-27 19:45:47"
"Frontend Development","https://github.com/dypsilon/frontend-dev-bookmarks#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"iOS","https://github.com/vsouza/awesome-ios#readme","","GitHub/sindresorhus/awesome","","Mobile operating system for Apple phones and tablets.","2025-05-27 19:45:47"
"Android","https://github.com/JStumpp/awesome-android#readme","","GitHub/sindresorhus/awesome","","Mobile operating system developed by Google.","2025-05-27 19:45:47"
"IoT & Hybrid Apps","https://github.com/weblancaster/awesome-IoT-hybrid#readme","","GitHub/sindresorhus/awesome","","No description","2025-05-27 19:45:47"
"Electron","https://github.com/sindresorhus/awesome-electron#readme","","GitHub/sindresorhus/awesome","","Cross-platform native desktop apps using JavaScript/HTML/CSS.","2025-05-27 19:45:47"
"Cordova","https://github.com/busterc/awesome-cordova#readme","","GitHub/sindresorhus/awesome","","JavaScript API for hybrid apps.","2025-05-27 19:45:47"
"React Native","https://github.com/jondot/awesome-react-native#readme","","GitHub/sindresorhus/awesome","","JavaScript framework for writing natively rendering mobile apps for iOS and Android.","2025-05-27 19:45:47"
